Sentiment,Customer Review,corpus
Positive,Bahannya nyaman ??. Nyaman di punggung. Gampang dipakai.,bahan nyaman nyaman punggung gampang pakai
Positive,"enak, isiannya banyak, sausnya mantap",enak isi saus mantap
Positive,"mantap, selalu ok sesuai produk deskripsi",mantap oke sesuai produk deskripsi
Positive,barang bagus..cuma kurang teliti saat pengiriman.kabel charger salah yang magnetik tapi dapat kabel charger usb..selain it ok lah,barang baguscuma teliti pengirimankabel charger salah magnetik kabel charger usbselain it oke
Positive,"produk ok ,sesuai pesanan,sudah langganan, pengiriman cepat, makasih store",produk oke sesuai pesanansudah langgan kirim cepat terima kasih store
Positive,Bahannya nyaman ??. Nyaman di punggung. Desain ergonomis. Beban tersebar merata. Proses pesanan cepat,bahan nyaman nyaman punggung desain ergonomis beban sebar proses pesan cepat
Positive,"Kualitas Product Bagus. Material bagus. Recomended. terimakasih untuk Tokopedia dan miniso karena saya dapat tong sampah plastik nya gratis semoga berkah untuk saya dan untuk Tokopedia dan miniso . tong sampah nya sampai dalam keadaan utuh dan masih bagus serta nyaman digunakan dan mungil juga dan bahan nya lembut soft doft yaa, jadi kalau dimainkan anak tidak akan melukai apabila tidak rusak seperti pecah dan semoga awet menemaniku sampai hari yang akan datang .",kualitas produk bagus material bagus recomended terima kasih tokopedia miniso tong sampah plastik nya gratis moga berkah tokopedia miniso tong sampah nya utuh bagus nyaman mungil bahan nya lembut lembut doft main anak luka rusak pecah moga awet teman
Positive,"Barang sebenarnya sudah sampai tadi sore, cuman baru ta unboxing dan mainkan malam ini. Sukaaa! Recommended ni toko ????????????",barang sore ta unboxing main malam suka recommended nih toko
Positive,"bahan oke, joss lahh",bahan oke joss
Positive,mantab barang susuai pesanan tepat waktu,mantap barang susuai pesan
Positive,"wajar lah harga segitu mah, baguss",wajar harga bagus
Positive,"sangat cepat responnya, sangat banyak membantu. terimakasih banyak",cepat responnya bantu terima kasih
Positive,"bagus kuteknya dan pengiriman ,respon penjual okey ,nyesel pesan 1 next time order lagi thx",bagus kuteknya kirim respon jual okey sesal pesan 1 next time order terima kasih
Positive,Bulu mata jadi lentik. Packaging rapi. Packaging aman ??. Proses pesanan cepat. Aplikator mudah dipakai.,bulu mata lentik packaging rapi packaging aman proses pesan cepat aplikator mudah pakai
Positive,Slalu beli di official shop.. ga pernah kecewa.. makasi seller,beli official shop kecewa terima kasih seller
Positive,Solatip nya kurang merekat tapi lampunya topp,solatip nya rekat lampu topp
Positive,Aplikator mudah dipakai. Desainnya lucu. Warnanya pekat.,aplikator mudah pakai desain lucu warna pekat
Positive,mantap??,mantap
Positive,Tepat waktu dan sesuai pesanan,sesuai pesan
Positive,"Proses cepat, kartu sim card dapat digunakan di pulau jeju dengan lancar tanpa ada halangan, makasih kenikura ??",proses cepat kartu sim card pulau jeju lancar halang terima kasih kenikura
Positive,Sudah diterima dengan baik. Produk sesuai dan nyaman dipakai. Terima kasih.,terima produk sesuai nyaman pakai terima kasih
Positive,"Wanginya enak, respon seller n pengiriman cepat",wangi enak respon seller kirim cepat
Positive,"Makasi gan barang dah sampai aman dan langsung dipakai, barangnya bagus, slalu memuaskan terus belanja disini",terima kasih juragan barang aman langsung pakai barang bagus muas belanja
Positive,produk mantapp????,produk mantap
Positive,Secara keseluruhan sudah bagus namun bagian dalam kadang suka copot copot,bagus kadang suka copot copot
Positive,Kualitas bahan mantap ??. Dijamin Termurah. Berfungsi dengan baik. semoga awet. tks.,kualitas bahan mantap jamin murah fungsi moga awet tks
Positive,"Barangnya bagus pengirimannya cepat, cuma kekurangan agan satu ini yaitu terlalu baik dan ramah, bahkan pengiriman di hari Minggupun dijalankan. Tuhan memberkati, sehat dan sukses selalu. Terima Kasih.",barang bagus kirim cepat agan ramah kirim minggu jalan tuhan kati sehat sukses terima kasih
Positive,"Ukurannya pas. Cepat menyerap. Tidak membuat lecet. udah langganan. harga murah dpt yg +2 lagi, trs dikasi sample susu. sukses selalu seller...",ukur pas cepat serap lecet langgan harga murah 2 kasih sample susu sukses seller
Positive,Barangnya original ??. Berfungsi dengan baik.,barang original fungsi
Positive,"Barang yg diterima dalam kondisi baik, pengirimannya lebih lama dari estimasi awal tp overall ok karena seller bantu informasikan kenapanya.. Thank you!",barang terima kondisi kirim estimasi overall oke seller bantu informasi terima kasih
Positive,"Packing rapi dan memuaskan, mantabh",packing rapi muas mantabh
Positive,barang bagus. pengirim cepat. s3moga bermanfaat,barang bagus kirim cepat s3moga manfaat
Positive,mantap paten joss,mantap paten joss
Positive,"Isi buku bagus, saya beli sekalian minta disampul. Tetapi halaman-halaman banyak yang menyatu, harus kita potong dengan cutter atau pisau secara manual. Sebenarnya saya tidak masalah tetapi saran saya sebaiknya seller memeriksa kembali barang sebelum dikirimkan dan memberitahu apabila ada kecacatan. Kemudian bila ada konsumen yang chat setelah barang sampai jangan cuman diread saja. Semoga bisa jadi bahan intropeksi dan membuat tokonya lebih maju",isi buku bagus beli sampul halamanhalaman potong cutter pisau manual saran seller periksa barang kirim memberitahu cacat konsumen chat barang diread moga bahan intropeksi toko maju
Positive,pengiriman cepat Barang Sesuai Deskripsi. terimakasih.,kirim cepat barang sesuai deskripsi terima kasih
Positive,"puas ama pelayanannya, ngeladenin pertanyaan2 ama request an di penuhi smua ama pihak hotelnya, best view pula ngadep ke zen deck nya",puas layan laden request an penuh hotel best view ngadep zen deck nya
Positive,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,mantap proses kerja kirim barang sesuai deskripsi
Positive,"Barang mantap, sesuai deskripsi, tapi belum di coba , semoga awet ??",barang mantap sesuai deskripsi coba moga awet
Positive,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",barang bagus emas aman fungsi
Positive,Muaanntttaaappp.. Seperti syamsul..,muaanntap syamsul
Positive,"Gokil! Harga murah, kualitas oke punya",gila harga murah kualitas oke
Positive,"Kondisi ikan cupang sehat, dan dipacking dengan rapi dan apik.",kondisi ikan cupang sehat bungkus rapi apik
Positive,5 jempol buat reseller dan produk nya ??????????,5 jempol reseller produk nya
Positive,"selalu puas belanja disini, packing aman sehingga brg diterima dlm keadaan baik tanpa cacat, respon dan pengiriman cpt. brg sesuai dengan deskripsi. Positive seller",puas belanja packing aman barang terima cacat respon kirim cepat barang sesuai deskripsi positif seller
Positive,"Barang sesuai deskripsi, baguss lucu , bisa dibawa kemana mana, mudah�an awet",barang sesuai deskripsi bagus lucu bawa mudah an awet
Positive,"luar biasa , proses ya cepet banget ng sampe 1 jam langsung di proses, ng seperti lapak yg satu lagi yg di tanggerang, pengiriman juga cepet banget, recomended banget",proses cepat banget ng 1 jam langsung proses ng lapak tanggerang kirim cepat banget recomended banget
Positive,"Yeay dapet harga diskon, beli 2 box, sampai tepat waktu. Terima kasih",yeay harga diskon beli 2 box terima kasih
Positive,"bagussss sukakakkk, ntah udh brp kali order, bahannya bagus, adem n nyaman dan harga promonya mantulll",bagus sukakak kali order bahan bagus adem nyaman harga promonya mantul
Positive,Modelnya keren. Ukuran sesuai. Bahan berkualitas. Potongannya rapi. Bahan menyerap keringat. Warnanya sesuai.,model keren ukur sesuai bahan kualitas potong rapi bahan serap keringat warna sesuai
Positive,Trima kasih szsdrum barang sdh sampai.Sukses terus szsdrum. ??????,terima kasih szsdrum barang sampaisukses szsdrum
Positive,Jahitannya rapi. Bahannya lembut.,jahit rapi bahan lembut
Positive,"pas, bermanfaat jadi rapi dapurnya.",pas manfaat rapi dapur
Positive,"Pengiriman cepat, barang sesuai pesanan, dan terbungkus dengan rapi ???????? Recomended",kirim cepat barang sesuai pesan bungkus rapi recomended
Positive,"terpercaya ori,fast respond,ditunjukan caranya sampai akhir pokoknya the best deh recommended banget",percaya orifast respondditunjukan pokok the best deh recommended banget
Positive,Seller bertanggung jawab keren!,seller tanggung keren
Positive,"Pesanan sesuai warnanya, cuman bahannya tipis banget ya. Kalau dipakai foto masih tembus bagian belakang. Tapi kualitas menyesuaikan harga sih. ????????????????????",pesan sesuai warna bahan tipis banget pakai foto tembus kualitas sesuai harga sih
Positive,belanja disini mantap pengiriman cepat dan barangnya rekomended dan packing aman dan rapi bakal belanja lagi disini insyaallah,belanja mantap kirim cepat barang rekomended packing aman rapi belanja insyaallah
Positive,Tidak menerawang. Mudah dibentuk. Warnanya cantik ??. pesanan cepat sampai. Baru pertama belanja d toko ini tidak mengecewakan.,terawang mudah bentuk warna cantik pesan cepat belanja toko kecewa
Positive,bagus bagusss semua. warnanya menarik bikin anak senang liat2 gambarnya.,bagus bagus warna tarik bikin anak senang lihat lihat gambar
Positive,Potongannya rapi. Ukurannya sesuai. Warnanya cantik ??. Bahannya adem. Produk berkualitas. Produk sesuai dengan foto.,potong rapi ukur sesuai warna cantik bahan adem produk kualitas produk sesuai foto
Positive,mantap...wangi...udah beli beberapa kali. Aman juga untuk hewan...,mantapwangiudah beli kali aman hewan
Positive,selalu puas...mantab,puasmantab
Positive,"Cepat respon, baju tidur yg datang sesuai deskripsi ukuran dan gambar, 3xl. Bahan kaos katun. ????",cepat respon baju tidur sesuai deskripsi ukur gambar 3xl bahan kaos katun
Positive,"barang sudah diterima sesuai dgn deskripsinya, terimakasih",barang terima sesuai deskripsi terima kasih
Positive,Gampang dipakai. Nyaman di punggung.,gampang pakai nyaman punggung
Positive,bahannya enak gak gerah dipakainya.,bahan enak gerah pakai
Positive,bagus reseller gercep bgt,bagus reseller gerak cepat banget
Positive,"besi tebal, sesuai deskripsi & foto",besi tebal sesuai deskripsi foto
Positive,"pelayanan nya TOP , after sales service bagus ????????",layan nya top after sales service bagus
Positive,"Barang original, pengemasangan sangat baik dan sangat cepat, seller sangat fast respon",barang original pengemasangan cepat seller fast respon
Positive,cepat........harga oke...sesuai pesanan.,cepatharga okesesuai pesan
Positive,payungnya bagus... tapi warnanya seharusnya yg ungu tapi yg dtg pink.. btw terima kasih buat hadiah pembelian pertamanya.. Kualitas Product Bagus. Recomended. Material bagus.,payung bagus warna ungu merah muda by the way terima kasih hadiah beli kualitas produk bagus recomended material bagus
Positive,Mantap,mantap
Positive,TOP BGT,top banget
Positive,terimakasih banyak kak.. pengiriman cepatt,terima kasih kak kirim cepatt
Positive,"barang bagus ,motif nya jg cantik. respond penjual cepat",barang bagus motif nya cantik respond jual cepat
Positive,"Barang sesuai pesanan, proses cepat, thanks seller..",barang sesuai pesan proses cepat terima kasih seller
Positive,mantap barang nyaa aman alhamdulillah,mantap barang nya aman alhamdulillah
Positive,Bagus banget keyboardnya. Packing sangat aman karena double kardus. Warna juga keren.,bagus banget keyboardnya packing aman double kardus warna keren
Positive,"fast respon, barang bagus, recommend..",fast respon barang bagus recommend
Positive,tripodnya mantap. dipakai sesuai kebutuhan ygbsederhana untuk taro hp dan kamera buat suting dan foto sederhana mumpuni banget. budget fits the function! keren!,tripod mantap pakai sesuai butuh ygbsederhana taro handphone kamera suting foto sederhana mumpuni banget budget fits the function keren
Positive,Ukuran sesuai. Nyaman dipakai si kecil. Bahannya tebal. Jahitannya rapi. Modelnya kekinian. Packaging-nya rapi. Proses pesanan cepat. Packaging aman ??.,ukur sesuai nyaman pakai sih bahan tebal jahit rapi model packagingnya rapi proses pesan cepat packaging aman
Positive,"Pemrosesan serta pengiriman produk cepat, padahal bukan di daerah JABODETABEK. Produk diterima dengan sempurna, 3 buah micro USB Data Cable kualitas premium, dan ada bonus kartu perdana Smartfren. Trims",pemrosesan kirim produk cepat daerah jabodetabek produk terima sempurna 3 buah micro usb data cable kualitas premium bonus kartu perdana smartfren terima kasih
Positive,Bagus semuaaaaanyaaaaaa????????????????????,bagus semuanyaa
Positive,"barang sampe bungkusnya udh sobek, untungnya bukunya masih aman walau ujungnya sedikit rusak",barang bungkus sobek untung buku aman ujung rusak
Positive,"Belanja ke dua kalinya. Barang ori, packing super aman. Mantap gan�.??????",belanja kali barang orisinal packing super aman mantap gan
Positive,"Pengirimannya sangat cepat, baru pesan kemarin langsung datang esok harinya. Barangnya bagus, semoga kualitasnya juga, bisa awet.",kirim cepat pesan kemarin langsung esok barang bagus moga kualitas awet
Positive,ikan bagus dan sehat. mantaaaaap,ikan bagus sehat mantap
Positive,sesuai yang dipesan. Terima kasih,sesuai pes terima kasih
Positive,Produk sampai dengan baik dan dikemas dengan rapi dan kedap. Sesuai deskripsi dan tanpa cacat. Harga produk yg ditawarkan wajar. Response seller juga cepat dan pengiriman juga relatif cepat. Terima kasih dan sukses selalu.,produk kemas rapi kedap sesuai deskripsi cacat harga produk tawar wajar response seller cepat kirim relatif cepat terima kasih sukses
Positive,"Puas sekali dengan seller tineco. Sangat fast response, barang yg dikirimkan jg dengan quality baik. Proper :)",puas seller tineco fast response barang kirim quality proper
Positive,Produk sesuai dengan foto.,produk sesuai foto
Positive,"kualitas mantap walau agak kotor dan ada banyak goresan tp udah uji coba aman, kiriman cepat, ga nunggu lama, pokoknya best recomend ????",kualitas mantap kotor gores uji coba aman kirim cepat tunggu pokok best recomend
Positive,"sesuai, ada kendala awalnya, tapi terselesaikan dengan cepat dan tanpa repot",sesuai kendala selesai cepat repot
Positive,"Baru co beberapa jam kemudian udah dipacking, pengiriman super cepet dan yang penting produk aman ga ada yang tumpah?ini sabun oke banget buat nyembuhin jerawat badan, plisss jangan discontinue yaaaaa. Mintnya seger bgtttt",co jam bungkus kirim super cepat produk aman tumpahini sabun oke banget nyembuhin jerawat badan plis discontinue mintnya segar banget
Positive,"pelayanan ramah, gratis design, pokoknya rekomendasi banget bikin cap disini",layan ramah gratis design pokok rekomendasi banget bikin cap
Positive,"lucu,,thankyou",lucuthankyou
Positive,enak banget. bikin ketagihan,enak banget bikin tagih
Positive,packing rapih....pengiriman juga lumayan cepat....,packing rapihpengiriman lumayan cepat
Positive,Warna sesuai pic Cantik,warna sesuai pic cantik
Positive,"barang bagus, gak mudah robek, bahan plastik.....",barang bagus mudah robek bahan plastik
Positive,ahannya bagus. model juga unik. cakep. adminnya sangat ramah serta cepat responnya. terima kasih triple W official ??,ahannya bagus model unik cakap adminnya ramah cepat responnya terima kasih triple gue official
Positive,"bagus, pengiriman cepat",bagus kirim cepat
Positive,Respon cepat. Barang sesuai pesanan. Tingkatkan kepercayaan dan kepuasan pelanggan. Recommended.,respon cepat barang sesuai pesan tingkat percaya puas langgan recommended
Positive,harga barang bagus bnget dan sesuai harga..... warnanya aja cepet pudar... sekali cuci aja udah langsung berubah,harga barang bagus banget sesuai harga warna cepat pudar cuci langsung ubah
Positive,"langganan bulanan, recommended????? i",langgan recommended i
Positive,"Saya puas dengan kacamatanya. Lagi pikir kalau pakai kaca asli ok tidak. Harganya memang sedikit lebih mahal dibanding yg lain, tapi so far kualitas bagus. Ringan pula. Enak dipakai.",puas kacamata pikir pakai kaca asli oke harga mahal banding sok far kualitas bagus ringan enak pakai
Positive,Barang berfungsi dengan baik. Packaging aman ??. Packaging aman ??. Barangnya original ??.,barang fungsi packaging aman packaging aman barang original
Positive,baguusss sarungnya,bagus sarung
Positive,fiturnya cukup bagus sesuai harga,fiturnya bagus sesuai harga
Positive,Palsu tapi bisa dipakai dan harga terjangkau ????,palsu pakai harga jangkau
Positive,"lumayan bagus ,isi banyak dan bahanny karet lentur banget ,pas banget di tangan",lumayan bagus isi bahanny karet lentur banget pas banget tangan
Positive,"Seneng banget dapet best deal beli 2 gratis 1 gini. Produk dipastikan original. Pengemasan cepat, dan sangat aman krn selain masih dalam packaging plastik, masih ditambah extra protection pake bubble wrap tebel. Terus dikasih bonus susu 2 dus juga walau akhirnya harus kasih ke temen karena belum punya baby hehe. Overall thanks a lot seller! ??",senang banget best deal beli 2 gratis 1 produk original emas cepat aman packaging plastik ekstra proteksi pakai bubble wrap tebal kasih bonus susu 2 dus kasih teman baby hehe overall terima kasih a lot seller
Positive,Nyaman dipakai. Bahannya kuat. Muat banyak barang. Potongannya rapi. Jahitannya rapi. Ukuran sesuai. Resletingnya lancar. Bahannya ringan. Modelnya keren ??.,nyaman pakai bahan kuat muat barang potong rapi jahit rapi ukur sesuai resletingnya lancar bahan ringan model keren
Positive,ya cukup puas makasih ??,puas terima kasih
Positive,"Mantap, sesuai dengan yang saya pesan. Packing rapih. Pengemasan dan pengiriman cepat.Terima kasih seller.",mantap sesuai pesan packing rapi emas kirim cepatterima kasih seller
Positive,"mantap sekali broooo, penjual ramah, sabar dan jika ada masalah pasti ditangani. ARIGATOOO??",mantap bro jual ramah sabar tangan arigato
Positive,"Suka bahannya, modelnya, harganya pun terjangkau.",suka bahan model harga jangkau
Positive,Barang sesuai pesanan. Namun utk saya pilih XL agak kegedean. Mungkin lebih tepatnya L.,barang sesuai pesan pilih xl gede l
Positive,Kualitas bahan bagus. kelengkapan sesuai. Packing Bagus. seller sangat fast respon. recomended.,kualitas bahan bagus lengkap sesuai packing bagus seller fast respon recomended
Positive,"mantap, barang cepat sampai dan murah",mantap barang cepat murah
Positive,bagus simple cuma menurut saya kurang keras suaranya... tapi bagus ??,bagus simple keras suara bagus
Positive,"baguus banget, puaslah dengan carote. ditunggu promo2nya lagi. makasih ya",baguus banget puas carote tunggu promo2nya terima kasih
Positive,1. Pengiriman cepat 2. Seller Responsive 3. Barang nya bagus 4. Grip nya solid 5. meskipun bahan plastik tapi nyaman di genggam 6. Adjust nya juga berfungsi dengan baik 7. harganya murah bgt 8. puas beli ini,1 kirim cepat 2 seller responsive 3 barang nya bagus 4 grip nya solid 5 bahan plastik nyaman genggam 6 adjust nya fungsi 7 harga murah banget 8 puas beli
Positive,"Gan... pesanan sudah saya terima sesuai order.. barang oke, aman, bagus dan mantap..?????? terima kasih Gan.. ??????????????????",juragan pesan terima sesuai order barang oke aman bagus mantap terima kasih juragan
Positive,"packing rapi, barang sesuai deskripsi. mantep lah.",packing rapi barang sesuai deskripsi mantap
Positive,ini pembelian ke 2 tidak mengecewakan... belum di unboxing...makasih banget bang next order lagi...,beli 2 kecewa unboxingmakasih banget bang next order
Positive,Thanks gan paket udah mendarat dengan selamat...pelayanan ok mantab..super fast respon..top very recomended seller,terima kasih juragan paket darat selamatpelayanan oke mantabsuper fast respontop recomended seller
Positive,"Barang Mendarat,,produk original sesuai dengan deskripsi,kemasan rapi ,seller Ramah,fast respon pengiriman pun cepat pokok nya recomended dah,makasih tokopedia makasih admin??",barang mendaratproduk original sesuai deskripsikemasan rapi seller ramahfast respon kirim cepat pokok nya recomended dahmakasih tokopedia terima kasih admin
Positive,"mantap proses pengemasan dan pengirimannya cepat, produknya juga nyaman bahannya...",mantap proses emas kirim cepat produk nyaman bahan
Positive,"Barangnya original ??. Kemasan disegel. tapi kok gk ad buku garansi'y, sma anti gores, & sofkesWarna sesuai pesanan.",barang original kemas segel buku garansiy anti gores sofkeswarna sesuai pesan
Positive,Kualitas nya bagus ?? Warna2 nya sesuai dengan yg di etalase ?? Pengiriman cepat banget ???? Thank you??????,kualitas nya bagus warna2 nya sesuai etalase kirim cepat banget terima kasih
Positive,"sesuai pesanan yaa,lama bgt smpx tp Kualitas bahan mantap ??. Dijamin Termurah. Berfungsi dengan baik.",sesuai pesan yaalama banget smpx kualitas bahan mantap jamin murah fungsi
Positive,barang sesuai pesanan paking standar bagus pengiriman cepat sampai TKS gan,barang sesuai pesan paking standar bagus kirim cepat tks juragan
Positive,"barang bagus, meskipun agak panas",barang bagus panas
Positive,"gak nyesel beli di sini sudah harga terjangkau, kualitas bagus, rekomendit banget deh pokok nya buat beli disini dan juga lengkap lagi. happy belanja di sini.",sesal beli harga jangkau kualitas bagus rekomendit banget deh pokok nya beli lengkap happy belanja
Positive,harga terbaik.. ada cashback.. adminnya cepat responnya. makasih banyak,harga cashback adminnya cepat responnya terima kasih
Positive,"dah ke2 x nya beli dsni selalu puas ??packing rapih, pengiriman cepat jg, respon penjual cepat,memang gak dapt free apapun gak pa pa yg penting harganya murah dari tempat lain????",ke2 x nya beli puas packing rapi kirim cepat respon jual cepatmemang dapt free harga murah
Positive,"produk sudah di Terima dgn baik, exp aman masih jauh. thx soho",produk terima exp aman terima kasih soho
Positive,"sudah saya terima, belom tau kwalitasnya semoga awet en bener2 bagus.. thks alls??",terima tau kualitas moga awet bagus thks alls
Positive,mantap pengiriman luarbiasa cepat...barang oke,mantap kirim cepatbarang oke
Positive,puas selalu belanja disini,puas belanja
Positive,Modelnya cantik ??. Bahannya adem. Nyaman dipakai. Jahitan rapi. Warnanya cantik ??. Mudah dibentuk.,model cantik bahan adem nyaman pakai jahit rapi warna cantik mudah bentuk
Positive,"Puas lah, fast response. Cuman masih sering close sendiri, saking sibuk, belum sempat dicek. Recommended seller! gaming terbaik. Game nya seru!",puas fast response close saking sibuk cek recommended seller gaming game nya seru
Positive,"bisa muat sampai ukuran kaki no 42. suami saya suka, ga tebel ga tipis, nyaman, lembut, Positive",muat ukur kaki no 42 suami suka tebal tipis nyaman lembut positif
Positive,sesuai harga,sesuai harga
Positive,"Wah alhamdulillah sampai dengan aman bubble wrap tebal banget. Suka sama modelnya kelihatan mevvah banget. Juara seller,.",alhamdulillah aman bubble wrap tebal banget suka model lihat mevvah banget juara seller
Positive,"Best bgt sih ini, fast respon, best price, prosesnya cepet bgt, satu lagi helpfull dibantuin ganti tgl karena di tgl pas booking mendadak ada halangan kirain bakal hangus tiketnya gak taunya dibantu proses reschedulenya pokoknya best bgt bakal jadi langganan",best banget sih fast respon best price proses cepat banget helpfull dibantuin ganti tanggal tanggal pas booking dadak halang hangus tiket tau bantu proses reschedulenya pokok best banget langgan
Positive,"berfungsi dngn baik,, playanan toko ini sangat bagus, saya saran kan belanja ditoko ini,, gak bikin kecewa pelanggan, best of the best lah toko ini,,",fungsi playanan toko bagus saran belanja toko bikin kecewa langgan best of the best toko
Positive,"Paket mulus sampai di tujuan, toko juga sudah terpercaya. Mantab??",paket mulus tuju toko percaya mantap
Positive,"Barangnya bagus bangett, dengan harga yang affordable dengan kualitas yang lumayan gokil sihh",barang bagus banget harga affordable kualitas lumayan gila sih
Positive,pelayanan top bgt.exp lama.stp beli maling slalu ke toko ini.the best seller,layan top bgtexp lamastp beli maling toko inithe best seller
Positive,"barang sdh diterima dalam kondisi baik, semoga bs berfungsi spt yg diharapkan, pengiriman cepat, tks seller",barang terima kondisi moga fungsi surat pemberitahuan harap kirim cepat tks seller
Positive,"Nyaman dipakai ?? Bahannya enak, fitting buat lari banget. Kekecilan sebenernya, tapi tenang ada garansi 45 hari & bisa tuker size Produk original ??",nyaman pakai bahan enak fitting lari banget tenang garansi 45 tukar size produk original
Positive,"Mantap barang cepet sampenya, seller Positive respon harga pass kualitas oke rekomen banget pokoknya",mantap barang cepat sampenya seller positif respon harga pas kualitas oke rekomen banget pokok
Positive,bagus sekali kualitas sisirnya!!! tombolnya mudah dipencet sehingga bulu gampang lepas. kucing saya juga suka banget tiap disisir sampe merem melek,bagus kualitas sisir tombol mudah pencet bulu gampang lepas kucing suka banget sisir merem melek
Positive,"Paket sudah diterima dalam kondisi aman, lengkap dan tanpa cacat. Packing rapi dan aman pake bublewrap. berfungsi normal. ori masih segel dan harga bersahabat. seller ok, recomanded",paket terima kondisi aman lengkap cacat packing rapi aman pakai bublewrap fungsi normal orisinal segel harga sahabat seller oke recomanded
Positive,Pembelian kesekian kalinya! Puas??. Packing aman ??. Kuat dan kokoh.,beli sekian kali puas packing aman kuat kokoh
Positive,Nyaman di kulit. Kulit jadi glowing ?. Penjualnya ramah banget. Packaging simpel. Packaging aman ??.,nyaman kulit kulit glowing jual ramah banget packaging simpel packaging aman
Positive,"TERIMAKASIH BANYAK UNTUK TOKO INI... saya kelupaan beli lilin ultah... jadi baru hari H-1 acara... syukur Puji Tuhan lilin bisa sampai tepat waktu, padahal dikirim keluar kota....",terima kasih toko lupa beli lilin ulang h1 acara syukur puji tuhan lilin kirim kota
Positive,LANGGANAN ??????????,langgan
Positive,masker terfavorit ga bikin uap dikacamata dan sangat nyaman dipakai. harga oke banget sekarang. Mantap,masker favorit bikin uap kacamata nyaman pakai harga oke banget mantap
Positive,Barang-barang nya bagus. dan kurirnya rela mengantarkan walupun gerimis. salut sama kurirnya?????????????? ????????,barangbarang nya bagus kurir rela gerimis salut kurir
Positive,"pohonnya masih segar, bonusnya juga banyak. makasih ya. udah 2x beli di sini.",pohon segar bonus terima kasih kali beli
Positive,"Kurmanya bagus, dagingnya empuk dan tebal. Mau coba pake buat bikin kue. Bakal langganan nih, semoga kualitas kurmanya bagus terus ya. Terima kasih seller!",kurma bagus daging empuk tebal coba pakai bikin kue langgan nih moga kualitas kurma bagus terima kasih seller
Positive,Barang udah sampai dan diterima sesuai pesanan.. top markotop gan.. mantap lah pkk nya gan.. thx u gan.. ????,barang terima sesuai pesan top markotop juragan mantap pakai nya juragan terima kasih juragan
Positive,sweater nya lumayan. hanya ada sedikit miskomunikasi. Tapi ya sudahlah... Terimakasih ya...,sweater nya lumayan miskomunikasi terima kasih
Positive,"kemasan ok, aman bgt. isi sangat banyak. produknya nyaman dipakai",kemas oke aman banget isi produk nyaman pakai
Positive,"barang ok, pengiriman cepat recommended seller",barang oke kirim cepat recommended seller
Positive,Mantaaaaaap Mantuuuuul terbaiikkkkk guuud,mantap mantul terbaiik gud
Positive,bagus banget ??,bagus banget
Positive,Nyaman banget dipakai. Kualitas bahan bagus. Tetap bisa gerak maksimal.,nyaman banget pakai kualitas bahan bagus gerak maksimal
Positive,"Serbaguna dan tajam,Barang sesuai deskripsi. Recommended seller tentunya! ????",serbaguna tajambarang sesuai deskripsi recommended seller
Positive,"Produnya OK banget, gak bosen2 belanja di toko ini. Terima kasih ????",produnya oke banget bosan bosan belanja toko terima kasih
Positive,cepat sekali pengirimannya. sudah di coba produk sesuai deskripsi praktis dibawa kemana2 skrg sudh gk lagi layar hp yg kotor dan brminyak.,cepat kirim coba produk sesuai deskripsi praktis bawa layar handphone kotor brminyak
