Sentiment,Customer Review,corpus
Positive,"Makasi gan barang dah sampai aman dan langsung dipakai, barangnya bagus, slalu memuaskan terus belanja disini","makasi gan barang dah sampai aman dan langsung dipakai, barangnya bagus, slalu memuaskan terus belanja disini"
Positive,produk mantapp????,produk mantapp????
Positive,Secara keseluruhan sudah bagus namun bagian dalam kadang suka copot copot,secara keseluruhan sudah bagus namun bagian dalam kadang suka copot copot
Positive,Kualitas bahan mantap ??. Dijamin Termurah. Berfungsi dengan baik. semoga awet. tks.,kualitas bahan mantap ??. dijamin termurah. berfungsi dengan baik. semoga awet. tks.
Positive,"Barangnya bagus pengirimannya cepat, cuma kekurangan agan satu ini yaitu terlalu baik dan ramah, bahkan pengiriman di hari Minggupun dijalankan. Tuhan memberkati, sehat dan sukses selalu. Terima Kasih.","barangnya bagus pengirimannya cepat, cuma kekurangan agan satu ini yaitu terlalu baik dan ramah, bahkan pengiriman di hari minggupun dijalankan. tuhan memberkati, sehat dan sukses selalu. terima kasih."
Positive,"Ukurannya pas. Cepat menyerap. Tidak membuat lecet. udah langganan. harga murah dpt yg +2 lagi, trs dikasi sample susu. sukses selalu seller...","ukurannya pas. cepat menyerap. tidak membuat lecet. udah langganan. harga murah dpt yg +2 lagi, trs dikasi sample susu. sukses selalu seller..."
Positive,Barangnya original ??. Berfungsi dengan baik.,barangnya original ??. berfungsi dengan baik.
Positive,"Barang yg diterima dalam kondisi baik, pengirimannya lebih lama dari estimasi awal tp overall ok karena seller bantu informasikan kenapanya.. Thank you!","barang yg diterima dalam kondisi baik, pengirimannya lebih lama dari estimasi awal tp overall ok karena seller bantu informasikan kenapanya.. thank you!"
Positive,"Packing rapi dan memuaskan, mantabh","packing rapi dan memuaskan, mantabh"
Positive,barang bagus. pengirim cepat. s3moga bermanfaat,barang bagus. pengirim cepat. s3moga bermanfaat
Positive,mantap paten joss,mantap paten joss
Positive,"Isi buku bagus, saya beli sekalian minta disampul. Tetapi halaman-halaman banyak yang menyatu, harus kita potong dengan cutter atau pisau secara manual. Sebenarnya saya tidak masalah tetapi saran saya sebaiknya seller memeriksa kembali barang sebelum dikirimkan dan memberitahu apabila ada kecacatan. Kemudian bila ada konsumen yang chat setelah barang sampai jangan cuman diread saja. Semoga bisa jadi bahan intropeksi dan membuat tokonya lebih maju","isi buku bagus, saya beli sekalian minta disampul. tetapi halaman-halaman banyak yang menyatu, harus kita potong dengan cutter atau pisau secara manual. sebenarnya saya tidak masalah tetapi saran saya sebaiknya seller memeriksa kembali barang sebelum dikirimkan dan memberitahu apabila ada kecacatan. kemudian bila ada konsumen yang chat setelah barang sampai jangan cuman diread saja. semoga bisa jadi bahan intropeksi dan membuat tokonya lebih maju"
Positive,pengiriman cepat Barang Sesuai Deskripsi. terimakasih.,pengiriman cepat barang sesuai deskripsi. terimakasih.
Positive,"puas ama pelayanannya, ngeladenin pertanyaan2 ama request an di penuhi smua ama pihak hotelnya, best view pula ngadep ke zen deck nya","puas ama pelayanannya, ngeladenin pertanyaan2 ama request an di penuhi smua ama pihak hotelnya, best view pula ngadep ke zen deck nya"
Positive,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi
Positive,"Barang mantap, sesuai deskripsi, tapi belum di coba , semoga awet ??","barang mantap, sesuai deskripsi, tapi belum di coba , semoga awet ??"
Positive,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik","barang bagus, pengemasan aman, dapat berfungsi dengan baik"
Positive,Muaanntttaaappp.. Seperti syamsul..,muaanntttaaappp.. seperti syamsul..
Positive,"Gokil! Harga murah, kualitas oke punya","gokil! harga murah, kualitas oke punya"
Positive,"Kondisi ikan cupang sehat, dan dipacking dengan rapi dan apik.","kondisi ikan cupang sehat, dan dipacking dengan rapi dan apik."
Positive,5 jempol buat reseller dan produk nya ??????????,5 jempol buat reseller dan produk nya ??????????
Positive,"selalu puas belanja disini, packing aman sehingga brg diterima dlm keadaan baik tanpa cacat, respon dan pengiriman cpt. brg sesuai dengan deskripsi. Positive seller","selalu puas belanja disini, packing aman sehingga brg diterima dlm keadaan baik tanpa cacat, respon dan pengiriman cpt. brg sesuai dengan deskripsi. positive seller"
Positive,"Barang sesuai deskripsi, baguss lucu , bisa dibawa kemana mana, mudah�an awet","barang sesuai deskripsi, baguss lucu , bisa dibawa kemana mana, mudah�an awet"
Positive,"luar biasa , proses ya cepet banget ng sampe 1 jam langsung di proses, ng seperti lapak yg satu lagi yg di tanggerang, pengiriman juga cepet banget, recomended banget","luar biasa , proses ya cepet banget ng sampe 1 jam langsung di proses, ng seperti lapak yg satu lagi yg di tanggerang, pengiriman juga cepet banget, recomended banget"
Positive,"Yeay dapet harga diskon, beli 2 box, sampai tepat waktu. Terima kasih","yeay dapet harga diskon, beli 2 box, sampai tepat waktu. terima kasih"
Positive,"bagussss sukakakkk, ntah udh brp kali order, bahannya bagus, adem n nyaman dan harga promonya mantulll","bagussss sukakakkk, ntah udh brp kali order, bahannya bagus, adem n nyaman dan harga promonya mantulll"
Positive,Modelnya keren. Ukuran sesuai. Bahan berkualitas. Potongannya rapi. Bahan menyerap keringat. Warnanya sesuai.,modelnya keren. ukuran sesuai. bahan berkualitas. potongannya rapi. bahan menyerap keringat. warnanya sesuai.
Positive,Trima kasih szsdrum barang sdh sampai.Sukses terus szsdrum. ??????,trima kasih szsdrum barang sdh sampai.sukses terus szsdrum. ??????
Positive,Jahitannya rapi. Bahannya lembut.,jahitannya rapi. bahannya lembut.
Positive,"pas, bermanfaat jadi rapi dapurnya.","pas, bermanfaat jadi rapi dapurnya."
Positive,"Pengiriman cepat, barang sesuai pesanan, dan terbungkus dengan rapi ???????? Recomended","pengiriman cepat, barang sesuai pesanan, dan terbungkus dengan rapi ???????? recomended"
Positive,"terpercaya ori,fast respond,ditunjukan caranya sampai akhir pokoknya the best deh recommended banget","terpercaya ori,fast respond,ditunjukan caranya sampai akhir pokoknya the best deh recommended banget"
Positive,Seller bertanggung jawab keren!,seller bertanggung jawab keren!
Positive,"Pesanan sesuai warnanya, cuman bahannya tipis banget ya. Kalau dipakai foto masih tembus bagian belakang. Tapi kualitas menyesuaikan harga sih. ????????????????????","pesanan sesuai warnanya, cuman bahannya tipis banget ya. kalau dipakai foto masih tembus bagian belakang. tapi kualitas menyesuaikan harga sih. ????????????????????"
Positive,belanja disini mantap pengiriman cepat dan barangnya rekomended dan packing aman dan rapi bakal belanja lagi disini insyaallah,belanja disini mantap pengiriman cepat dan barangnya rekomended dan packing aman dan rapi bakal belanja lagi disini insyaallah
Positive,Tidak menerawang. Mudah dibentuk. Warnanya cantik ??. pesanan cepat sampai. Baru pertama belanja d toko ini tidak mengecewakan.,tidak menerawang. mudah dibentuk. warnanya cantik ??. pesanan cepat sampai. baru pertama belanja d toko ini tidak mengecewakan.
Positive,bagus bagusss semua. warnanya menarik bikin anak senang liat2 gambarnya.,bagus bagusss semua. warnanya menarik bikin anak senang liat2 gambarnya.
Positive,Potongannya rapi. Ukurannya sesuai. Warnanya cantik ??. Bahannya adem. Produk berkualitas. Produk sesuai dengan foto.,potongannya rapi. ukurannya sesuai. warnanya cantik ??. bahannya adem. produk berkualitas. produk sesuai dengan foto.
Positive,mantap...wangi...udah beli beberapa kali. Aman juga untuk hewan...,mantap...wangi...udah beli beberapa kali. aman juga untuk hewan...
Positive,selalu puas...mantab,selalu puas...mantab
Positive,"Cepat respon, baju tidur yg datang sesuai deskripsi ukuran dan gambar, 3xl. Bahan kaos katun. ????","cepat respon, baju tidur yg datang sesuai deskripsi ukuran dan gambar, 3xl. bahan kaos katun. ????"
Positive,"barang sudah diterima sesuai dgn deskripsinya, terimakasih","barang sudah diterima sesuai dgn deskripsinya, terimakasih"
Positive,Gampang dipakai. Nyaman di punggung.,gampang dipakai. nyaman di punggung.
Positive,bahannya enak gak gerah dipakainya.,bahannya enak gak gerah dipakainya.
Positive,bagus reseller gercep bgt,bagus reseller gercep bgt
Positive,"besi tebal, sesuai deskripsi & foto","besi tebal, sesuai deskripsi & foto"
Positive,"pelayanan nya TOP , after sales service bagus ????????","pelayanan nya top , after sales service bagus ????????"
Positive,"Barang original, pengemasangan sangat baik dan sangat cepat, seller sangat fast respon","barang original, pengemasangan sangat baik dan sangat cepat, seller sangat fast respon"
Positive,cepat........harga oke...sesuai pesanan.,cepat........harga oke...sesuai pesanan.
Positive,payungnya bagus... tapi warnanya seharusnya yg ungu tapi yg dtg pink.. btw terima kasih buat hadiah pembelian pertamanya.. Kualitas Product Bagus. Recomended. Material bagus.,payungnya bagus... tapi warnanya seharusnya yg ungu tapi yg dtg pink.. btw terima kasih buat hadiah pembelian pertamanya.. kualitas product bagus. recomended. material bagus.
Positive,Mantap,mantap
Positive,TOP BGT,top bgt
Positive,terimakasih banyak kak.. pengiriman cepatt,terimakasih banyak kak.. pengiriman cepatt
Positive,"barang bagus ,motif nya jg cantik. respond penjual cepat","barang bagus ,motif nya jg cantik. respond penjual cepat"
Positive,"Barang sesuai pesanan, proses cepat, thanks seller..","barang sesuai pesanan, proses cepat, thanks seller.."
Positive,mantap barang nyaa aman alhamdulillah,mantap barang nyaa aman alhamdulillah
Positive,Bagus banget keyboardnya. Packing sangat aman karena double kardus. Warna juga keren.,bagus banget keyboardnya. packing sangat aman karena double kardus. warna juga keren.
Positive,"fast respon, barang bagus, recommend..","fast respon, barang bagus, recommend.."
Positive,tripodnya mantap. dipakai sesuai kebutuhan ygbsederhana untuk taro hp dan kamera buat suting dan foto sederhana mumpuni banget. budget fits the function! keren!,tripodnya mantap. dipakai sesuai kebutuhan ygbsederhana untuk taro hp dan kamera buat suting dan foto sederhana mumpuni banget. budget fits the function! keren!
Positive,Ukuran sesuai. Nyaman dipakai si kecil. Bahannya tebal. Jahitannya rapi. Modelnya kekinian. Packaging-nya rapi. Proses pesanan cepat. Packaging aman ??.,ukuran sesuai. nyaman dipakai si kecil. bahannya tebal. jahitannya rapi. modelnya kekinian. packaging-nya rapi. proses pesanan cepat. packaging aman ??.
Positive,"Pemrosesan serta pengiriman produk cepat, padahal bukan di daerah JABODETABEK. Produk diterima dengan sempurna, 3 buah micro USB Data Cable kualitas premium, dan ada bonus kartu perdana Smartfren. Trims","pemrosesan serta pengiriman produk cepat, padahal bukan di daerah jabodetabek. produk diterima dengan sempurna, 3 buah micro usb data cable kualitas premium, dan ada bonus kartu perdana smartfren. trims"
Positive,Bagus semuaaaaanyaaaaaa????????????????????,bagus semuaaaaanyaaaaaa????????????????????
Positive,"barang sampe bungkusnya udh sobek, untungnya bukunya masih aman walau ujungnya sedikit rusak","barang sampe bungkusnya udh sobek, untungnya bukunya masih aman walau ujungnya sedikit rusak"
Positive,"Belanja ke dua kalinya. Barang ori, packing super aman. Mantap gan�.??????","belanja ke dua kalinya. barang ori, packing super aman. mantap gan�.??????"
Positive,"Pengirimannya sangat cepat, baru pesan kemarin langsung datang esok harinya. Barangnya bagus, semoga kualitasnya juga, bisa awet.","pengirimannya sangat cepat, baru pesan kemarin langsung datang esok harinya. barangnya bagus, semoga kualitasnya juga, bisa awet."
Positive,ikan bagus dan sehat. mantaaaaap,ikan bagus dan sehat. mantaaaaap
Positive,sesuai yang dipesan. Terima kasih,sesuai yang dipesan. terima kasih
Positive,Produk sampai dengan baik dan dikemas dengan rapi dan kedap. Sesuai deskripsi dan tanpa cacat. Harga produk yg ditawarkan wajar. Response seller juga cepat dan pengiriman juga relatif cepat. Terima kasih dan sukses selalu.,produk sampai dengan baik dan dikemas dengan rapi dan kedap. sesuai deskripsi dan tanpa cacat. harga produk yg ditawarkan wajar. response seller juga cepat dan pengiriman juga relatif cepat. terima kasih dan sukses selalu.
Positive,"Puas sekali dengan seller tineco. Sangat fast response, barang yg dikirimkan jg dengan quality baik. Proper :)","puas sekali dengan seller tineco. sangat fast response, barang yg dikirimkan jg dengan quality baik. proper :)"
Positive,Produk sesuai dengan foto.,produk sesuai dengan foto.
Positive,"kualitas mantap walau agak kotor dan ada banyak goresan tp udah uji coba aman, kiriman cepat, ga nunggu lama, pokoknya best recomend ????","kualitas mantap walau agak kotor dan ada banyak goresan tp udah uji coba aman, kiriman cepat, ga nunggu lama, pokoknya best recomend ????"
Positive,"sesuai, ada kendala awalnya, tapi terselesaikan dengan cepat dan tanpa repot","sesuai, ada kendala awalnya, tapi terselesaikan dengan cepat dan tanpa repot"
Positive,"Baru co beberapa jam kemudian udah dipacking, pengiriman super cepet dan yang penting produk aman ga ada yang tumpah?ini sabun oke banget buat nyembuhin jerawat badan, plisss jangan discontinue yaaaaa. Mintnya seger bgtttt","baru co beberapa jam kemudian udah dipacking, pengiriman super cepet dan yang penting produk aman ga ada yang tumpah?ini sabun oke banget buat nyembuhin jerawat badan, plisss jangan discontinue yaaaaa. mintnya seger bgtttt"
Positive,"pelayanan ramah, gratis design, pokoknya rekomendasi banget bikin cap disini","pelayanan ramah, gratis design, pokoknya rekomendasi banget bikin cap disini"
Positive,"lucu,,thankyou","lucu,,thankyou"
Positive,enak banget. bikin ketagihan,enak banget. bikin ketagihan
Positive,packing rapih....pengiriman juga lumayan cepat....,packing rapih....pengiriman juga lumayan cepat....
Positive,Warna sesuai pic Cantik,warna sesuai pic cantik
Positive,"barang bagus, gak mudah robek, bahan plastik.....","barang bagus, gak mudah robek, bahan plastik....."
Positive,ahannya bagus. model juga unik. cakep. adminnya sangat ramah serta cepat responnya. terima kasih triple W official ??,ahannya bagus. model juga unik. cakep. adminnya sangat ramah serta cepat responnya. terima kasih triple w official ??
Positive,"bagus, pengiriman cepat","bagus, pengiriman cepat"
Positive,Respon cepat. Barang sesuai pesanan. Tingkatkan kepercayaan dan kepuasan pelanggan. Recommended.,respon cepat. barang sesuai pesanan. tingkatkan kepercayaan dan kepuasan pelanggan. recommended.
Positive,harga barang bagus bnget dan sesuai harga..... warnanya aja cepet pudar... sekali cuci aja udah langsung berubah,harga barang bagus bnget dan sesuai harga..... warnanya aja cepet pudar... sekali cuci aja udah langsung berubah
Positive,"langganan bulanan, recommended????? i","langganan bulanan, recommended????? i"
Positive,"Saya puas dengan kacamatanya. Lagi pikir kalau pakai kaca asli ok tidak. Harganya memang sedikit lebih mahal dibanding yg lain, tapi so far kualitas bagus. Ringan pula. Enak dipakai.","saya puas dengan kacamatanya. lagi pikir kalau pakai kaca asli ok tidak. harganya memang sedikit lebih mahal dibanding yg lain, tapi so far kualitas bagus. ringan pula. enak dipakai."
Positive,Barang berfungsi dengan baik. Packaging aman ??. Packaging aman ??. Barangnya original ??.,barang berfungsi dengan baik. packaging aman ??. packaging aman ??. barangnya original ??.
Positive,baguusss sarungnya,baguusss sarungnya
Positive,fiturnya cukup bagus sesuai harga,fiturnya cukup bagus sesuai harga
Positive,Palsu tapi bisa dipakai dan harga terjangkau ????,palsu tapi bisa dipakai dan harga terjangkau ????
Positive,"lumayan bagus ,isi banyak dan bahanny karet lentur banget ,pas banget di tangan","lumayan bagus ,isi banyak dan bahanny karet lentur banget ,pas banget di tangan"
Positive,"Seneng banget dapet best deal beli 2 gratis 1 gini. Produk dipastikan original. Pengemasan cepat, dan sangat aman krn selain masih dalam packaging plastik, masih ditambah extra protection pake bubble wrap tebel. Terus dikasih bonus susu 2 dus juga walau akhirnya harus kasih ke temen karena belum punya baby hehe. Overall thanks a lot seller! ??","seneng banget dapet best deal beli 2 gratis 1 gini. produk dipastikan original. pengemasan cepat, dan sangat aman krn selain masih dalam packaging plastik, masih ditambah extra protection pake bubble wrap tebel. terus dikasih bonus susu 2 dus juga walau akhirnya harus kasih ke temen karena belum punya baby hehe. overall thanks a lot seller! ??"
Positive,Nyaman dipakai. Bahannya kuat. Muat banyak barang. Potongannya rapi. Jahitannya rapi. Ukuran sesuai. Resletingnya lancar. Bahannya ringan. Modelnya keren ??.,nyaman dipakai. bahannya kuat. muat banyak barang. potongannya rapi. jahitannya rapi. ukuran sesuai. resletingnya lancar. bahannya ringan. modelnya keren ??.
Positive,ya cukup puas makasih ??,ya cukup puas makasih ??
Positive,"Mantap, sesuai dengan yang saya pesan. Packing rapih. Pengemasan dan pengiriman cepat.Terima kasih seller.","mantap, sesuai dengan yang saya pesan. packing rapih. pengemasan dan pengiriman cepat.terima kasih seller."
Positive,"mantap sekali broooo, penjual ramah, sabar dan jika ada masalah pasti ditangani. ARIGATOOO??","mantap sekali broooo, penjual ramah, sabar dan jika ada masalah pasti ditangani. arigatooo??"
Positive,"Suka bahannya, modelnya, harganya pun terjangkau.","suka bahannya, modelnya, harganya pun terjangkau."
Positive,Barang sesuai pesanan. Namun utk saya pilih XL agak kegedean. Mungkin lebih tepatnya L.,barang sesuai pesanan. namun utk saya pilih xl agak kegedean. mungkin lebih tepatnya l.
Positive,Kualitas bahan bagus. kelengkapan sesuai. Packing Bagus. seller sangat fast respon. recomended.,kualitas bahan bagus. kelengkapan sesuai. packing bagus. seller sangat fast respon. recomended.
Positive,"mantap, barang cepat sampai dan murah","mantap, barang cepat sampai dan murah"
Positive,bagus simple cuma menurut saya kurang keras suaranya... tapi bagus ??,bagus simple cuma menurut saya kurang keras suaranya... tapi bagus ??
Positive,"baguus banget, puaslah dengan carote. ditunggu promo2nya lagi. makasih ya","baguus banget, puaslah dengan carote. ditunggu promo2nya lagi. makasih ya"
Positive,1. Pengiriman cepat 2. Seller Responsive 3. Barang nya bagus 4. Grip nya solid 5. meskipun bahan plastik tapi nyaman di genggam 6. Adjust nya juga berfungsi dengan baik 7. harganya murah bgt 8. puas beli ini,1. pengiriman cepat 2. seller responsive 3. barang nya bagus 4. grip nya solid 5. meskipun bahan plastik tapi nyaman di genggam 6. adjust nya juga berfungsi dengan baik 7. harganya murah bgt 8. puas beli ini
Positive,"Gan... pesanan sudah saya terima sesuai order.. barang oke, aman, bagus dan mantap..?????? terima kasih Gan.. ??????????????????","gan... pesanan sudah saya terima sesuai order.. barang oke, aman, bagus dan mantap..?????? terima kasih gan.. ??????????????????"
Positive,"packing rapi, barang sesuai deskripsi. mantep lah.","packing rapi, barang sesuai deskripsi. mantep lah."
Positive,ini pembelian ke 2 tidak mengecewakan... belum di unboxing...makasih banget bang next order lagi...,ini pembelian ke 2 tidak mengecewakan... belum di unboxing...makasih banget bang next order lagi...
Positive,Thanks gan paket udah mendarat dengan selamat...pelayanan ok mantab..super fast respon..top very recomended seller,thanks gan paket udah mendarat dengan selamat...pelayanan ok mantab..super fast respon..top very recomended seller
Positive,"Barang Mendarat,,produk original sesuai dengan deskripsi,kemasan rapi ,seller Ramah,fast respon pengiriman pun cepat pokok nya recomended dah,makasih tokopedia makasih admin??","barang mendarat,,produk original sesuai dengan deskripsi,kemasan rapi ,seller ramah,fast respon pengiriman pun cepat pokok nya recomended dah,makasih tokopedia makasih admin??"
Positive,"mantap proses pengemasan dan pengirimannya cepat, produknya juga nyaman bahannya...","mantap proses pengemasan dan pengirimannya cepat, produknya juga nyaman bahannya..."
Positive,"Barangnya original ??. Kemasan disegel. tapi kok gk ad buku garansi'y, sma anti gores, & sofkesWarna sesuai pesanan.","barangnya original ??. kemasan disegel. tapi kok gk ad buku garansi'y, sma anti gores, & sofkeswarna sesuai pesanan."
Positive,Kualitas nya bagus ?? Warna2 nya sesuai dengan yg di etalase ?? Pengiriman cepat banget ???? Thank you??????,kualitas nya bagus ?? warna2 nya sesuai dengan yg di etalase ?? pengiriman cepat banget ???? thank you??????
Positive,"sesuai pesanan yaa,lama bgt smpx tp Kualitas bahan mantap ??. Dijamin Termurah. Berfungsi dengan baik.","sesuai pesanan yaa,lama bgt smpx tp kualitas bahan mantap ??. dijamin termurah. berfungsi dengan baik."
Positive,barang sesuai pesanan paking standar bagus pengiriman cepat sampai TKS gan,barang sesuai pesanan paking standar bagus pengiriman cepat sampai tks gan
Positive,"barang bagus, meskipun agak panas","barang bagus, meskipun agak panas"
Positive,"gak nyesel beli di sini sudah harga terjangkau, kualitas bagus, rekomendit banget deh pokok nya buat beli disini dan juga lengkap lagi. happy belanja di sini.","gak nyesel beli di sini sudah harga terjangkau, kualitas bagus, rekomendit banget deh pokok nya buat beli disini dan juga lengkap lagi. happy belanja di sini."
Positive,harga terbaik.. ada cashback.. adminnya cepat responnya. makasih banyak,harga terbaik.. ada cashback.. adminnya cepat responnya. makasih banyak
Positive,"dah ke2 x nya beli dsni selalu puas ??packing rapih, pengiriman cepat jg, respon penjual cepat,memang gak dapt free apapun gak pa pa yg penting harganya murah dari tempat lain????","dah ke2 x nya beli dsni selalu puas ??packing rapih, pengiriman cepat jg, respon penjual cepat,memang gak dapt free apapun gak pa pa yg penting harganya murah dari tempat lain????"
Positive,"produk sudah di Terima dgn baik, exp aman masih jauh. thx soho","produk sudah di terima dgn baik, exp aman masih jauh. thx soho"
Positive,"sudah saya terima, belom tau kwalitasnya semoga awet en bener2 bagus.. thks alls??","sudah saya terima, belom tau kwalitasnya semoga awet en bener2 bagus.. thks alls??"
Positive,mantap pengiriman luarbiasa cepat...barang oke,mantap pengiriman luarbiasa cepat...barang oke
Positive,puas selalu belanja disini,puas selalu belanja disini
Positive,Modelnya cantik ??. Bahannya adem. Nyaman dipakai. Jahitan rapi. Warnanya cantik ??. Mudah dibentuk.,modelnya cantik ??. bahannya adem. nyaman dipakai. jahitan rapi. warnanya cantik ??. mudah dibentuk.
Positive,"Puas lah, fast response. Cuman masih sering close sendiri, saking sibuk, belum sempat dicek. Recommended seller! gaming terbaik. Game nya seru!","puas lah, fast response. cuman masih sering close sendiri, saking sibuk, belum sempat dicek. recommended seller! gaming terbaik. game nya seru!"
